Locality,Shannon-Weaver entropy
Municipiul Cluj-Napoca,0.8241855966694367
Municipiul Dej,0.6292164387454124
Cuzdrioara,0.6846064713684893
Jichisu De Jos,0.04751945003840976
Mica,0.9733418075382819
Municipiul Turda,0.7797009039111444
Mihai Viteazu,0.932264070932462
Sandulesti,0.2612686361617597
Municipiul Campia Turzii,0.6879219859211324
Municipiul Gherla,0.908259718436546
Oras Huedin,1.3347258710536958
Aghiresu,1.3134691940582912
Aiton,0.622937488104321
Alunis,0.05245188946213945
Apahida,0.5097995968651895
Aschileu,0.8543948470918803
Baciu,1.2123918410442638
Baisoara,0.2336527624949759
Belis,0.033245882303260976
Bobalna,0.390361157929389
Bontida,1.3425983564337314
Borsa,0.6106676062928859
Buza,1.2035792346797058
Caianu,1.1110613813931316
Calarasi,0.9555546660962734
Calatele,0.942720668472565
Camarasu,1.0663943032635559
Capusu Mare,1.2341715618542117
Caseiu,0.5029946208966943
Catina,0.9092565905710474
Ceanu Mare,0.48833400075178757
Chinteni,0.7559805396822546
Chiuiesti,0.10111692136399021
Ciucea,0.06987290917033168
Ciurila,0.34087616332800835
Catcau,0.2586146835133682
Cojocna,1.3671063095428566
Cornesti,0.7728105089944656
Dabaca,0.7256069052307774
Feleacu,0.9475257815988776
Fizesu Gherlii,1.3503008647825125
Floresti,0.9489006783038004
Frata,0.7513569535455207
Geaca,0.9143158960031244
Gilau,0.8421181028774811
Garbau,1.224751245452723
Iara,0.5624704364771557
Iclod,0.32043318822958466
Izvoru Crisului,0.7234125938630879
Jucu,0.6150822250124748
Luna,0.9510314953601084
Maguri-Racatau,0.019209813098083978
Manastireni,0.8187563141165792
Margau,0.039035742537290995
Marisel,0.0
Mintiu Gherlii,0.34729298805337305
Mociu,1.126591528241843
Moldovenesti,1.1757311177300422
Palatca,1.2073836705707364
Panticeu,0.8143070849158915
Petrestii De Jos,0.20556454357977344
Ploscos,0.12862243565642703
Poieni,0.3499710220089792
Recea-Cristur,0.790995327343006
Risca,0.0
Sacuieu,0.5673907203525781
Savadisla,1.108774544353586
Sic,0.26517169702818133
Sancraiu,0.7515894984034088
Sanmartin,0.7445653394670531
Sanpaul,0.7179082953830588
Suatu,1.3772198721324718
Tritenii De Jos,0.45339550394542905
Tureni,1.1806657844224357
Taga,0.5379083021411273
Unguras,1.04671069367217
