Ani,NumeJudet,0
2012,Bihor,226759.12926074295
2012,Bistrita-Nasaud,105164.26558863932
2012,Botosani,78320.31341183795
2012,Braila,362047.33538597764
2012,Brasov,822715.3654946518
2012,Buzau,49618.21559841909
2012,Calarasi,34405.14429193695
2012,Caras-Severin,42495.69567060349
2012,Cluj,446335.65826896863
2012,Constanta,2079753.4221379699
2012,Covasna,76680.46104782591
2012,Dambovita,66719.39373198533
2012,Dolj,182590.45562872203
2012,Galati,174615.83665813573
2012,Giurgiu,114932.21889593062
2012,Gorj,127055.63932440383
2012,Harghita,36406.789160859524
2012,Hunedoara,32021.55679814927
2012,Ialomita,37151.52761656433
2012,Iasi,431249.6018304489
2012,Ilfov,21854.39715421039
2012,Maramures,87265.38591223898
2012,Mehedinti,94627.67059318468
2012,Municipiul Bucuresti,4178978.0
2012,Mures,192751.2674766097
2012,Neamt,57916.79105695717
2012,Olt,83307.75756907863
2012,Prahova,162905.76138832472
2012,Salaj,48487.74364359684
2012,Satu Mare,90640.3570018462
2012,Sibiu,368016.64283796836
2012,Suceava,97263.90418739179
2012,Teleorman,17378.61113617226
2012,Timis,575378.6349772473
2012,Tulcea,125972.21822071126
2012,Valcea,134508.91473553638
2012,Vaslui,36533.244169972735
2012,Vrancea,32622.44376504512
2013,Alba,49801.37830350174
2013,Arad,237090.94250363228
2013,Arges,85838.14232359281
2013,Bacau,72859.56965514559
2013,Bihor,232591.75656377315
2013,Bistrita-Nasaud,81906.71471974856
2013,Botosani,77499.59771071427
2013,Braila,328378.24649440555
2013,Brasov,892841.9762686779
2013,Buzau,54281.193570701085
2013,Calarasi,32164.440365391245
2013,Caras-Severin,44217.442663315946
2013,Cluj,497927.739641037
2013,Constanta,1944534.8195742965
2013,Covasna,78431.94497307835
2013,Dambovita,72896.94264558078
2013,Dolj,201075.6876611638
2013,Galati,210847.1149057334
2013,Giurgiu,100282.34575133423
2013,Gorj,120578.17338306502
2013,Harghita,35555.045616968084
2013,Hunedoara,33518.92078498052
2013,Ialomita,37121.71859141503
2013,Iasi,421253.6049243911
2013,Ilfov,22574.568091940895
2013,Maramures,84556.89968621025
2013,Mehedinti,85970.8652976441
2013,Municipiul Bucuresti,4449258.0
2013,Mures,210603.36171725972
2013,Neamt,59904.56827411623
2013,Olt,58344.7332341183
2013,Prahova,141476.13179500547
2013,Salaj,51117.093722932106
2013,Satu Mare,115118.45814977973
2013,Sibiu,395536.3183488588
2013,Suceava,103714.34493533723
2013,Teleorman,15000.801871270009
2013,Timis,595197.0427091338
2013,Tulcea,193532.1682981667
2013,Valcea,138364.44326758786
2013,Vaslui,32153.50978661151
2013,Vrancea,34748.21722899476
2014,Alba,50404.01795179585
2014,Arad,255333.9176684342
2014,Arges,99946.39855618782
2014,Bacau,97887.61669054355
